TITLE,COMPANY,Salary,Race,Gender,YEARS_EXPERIENCE,Location_clean,JOB_DUTIES
Editorial director,NONE SPECIFIED,85000,poc,female,21,Los Angeles,"Manage all editorial, custom content for two vertical markets"
editorial director,CondeNast,245000,noanswer,female,18,New York,"directing editorial team of 4+ people to produce print and integrated products on behalf of in-house brands, as well as branded content"
Editorial Director,Refinery29,190000,white,female,,New York,
Editorial Director,NONE SPECIFIED,90000,white,female,11,New York,"Overseeing a newsroom of 10 people, developing and executing editorial strategy, editing and planning all major editorial franchises (columns, events, video, etc.)"
Editorial Operations Manager,NONE SPECIFIED,85000,poc,male,3,"Washington, DC","Training, management, data analysis"
Editorial Producer (booker),NONE SPECIFIED,77000,poc,female,4,New York,"Book guests for national news, develop long-term stories and relationships"
Editorial Production Assistant,Nonprofit news outlet,48000,asian,female,2,Boston,"University calendar management, story production (layout, copy editing, photo selection, SEO headlines, heds/deks/summaries) via Wordpress, newsletter assembly (as needed), occasional writing/reporting, managing additional side projects (as needed)"
Engagement Editor,Penske Media Corporation,45000,white,female,3,Boston,"Managing social media, packaging and promoting new essays."
Engagement editor,Enthusiast Magazine,45000,poc,female,2,Chicago,"Manage social accounts and build strategy, audience-driven reporting, work on engagement strategy for stories"
engagement editor,NONE SPECIFIED,75000,white,na,3,"Washington, DC",manage/program social accounts for national news org; homepage; push alerts; some editing for digital stories; some reporting
enterprise reporter,NONE SPECIFIED,110000,poc,female,6,San Francisco,Write and report out enterprise/investigative stories
Entry-level reporter,Bloomberg,60000,noanswer,female,0,New York,Reporting
Executive Assistant,Hearst Digital Media,35000,black,female,2.5,New York,"Manages the calendar of the EIC, arranges travel reservations (booking flights, cars, and hotels), answers phone, handles all incoming and outgoing mail, takes thorough notes and helps prepare EIC for meetings and events and podcasts, runs personal errands, arranges copying, faxing mail and a variety of other messenger services, maintains centralized contact lists, reports, records and spreadsheets, processes expense reports, reserves conference rooms, schedules staff-wide meetings, keeps office space tidy and organized, and coordinates catering services and team events, contributes editorially (building weekly newsletters and writing for the mag), manages relationships between staff members and external partners and industry influencers, advises and leads diversity and inclusion efforts at the brand, fosters productive working relationships with staff members and assists with various projects as necessary and a whole lot more."
Executive editor,USATODAY,42000,white,female,7.5,New York City Suburbs,"Running an entire newspaper that publishes weekly, i.e. writing 6+ stories, managing freelance submissions, layout an entire paper in InDesign, copyedit entire paper, compile event listings, manage social media, update the website"
"Executive Editor, News",NewYorkTimes,350000,black,noanswer,30,New York,
Fact Checker,NONE SPECIFIED,69500,black,male,5,New York,Fact-checking articles and public-facing copy
FACT-CHECKER,Ai,42000,noanswer,female,1,New York,
Features Editor,NONE SPECIFIED,100000,white,female,10,New York,"Conceptualize, assign, and edit feature-length health and science pieces (8/week); write weekly; work w/ social media team to promote vertical; attend pitch/brainstorm meetings; work with video and photo teams on packaging; etc."
Fellow,NONE SPECIFIED,74000,noanswer,noanswer,(all fellows are paid the same),New York,https://www.nytimes.com/interactive/2018/jobs/times-fellowship.html
Field Producer,NONE SPECIFIED,110000,hispanic,female,8,Los Angeles,"Producing live reports, pkgs, writing"
Field Producer,NONE SPECIFIED,88000,white,female,10,New York,Longform field producing
Former Style & Grooming Editor,Hearst,55000,white,male,3,New York,"Write at least three stories a day (mostly e-commerce based), manage freelancers and editorial fellow"
Freelance Journalist,Meredith Corporation,25000,white,male,5,New York,"Contribute on average one feature, independent reported story per week, 40-50 so far in 2019"
Freelance Opinion Columnist,AJ+/Al Jazeera English,50000,white,female,6,New York,"Write one 800-1000 word column per week, pegged to the news cycle."
Freelance Writer,Politico,12000,black,female,3,New York,"Writing reviews, essays and interviews"
Freelance Writer & Editor,NONE SPECIFIED,135000,asian,female,19,New York,
General Assignment Reporter,Law360,64668,black,female,3,New York,"reporting and writing multiple stories daily on litigation, regulation, public policy and other legal news"
General assignment reporter,Law360,64872,white,female,5,New York,"Write several stories a day about legal and policy updates, mainly based off court documents. Sometimes write deeper features and analyses"
Global Media Manager,NONE SPECIFIED,85000,black,female,5,New York,"Account Management, Media Planning"
Graphic Artist,VoxMedia,12694,white,male,13,New York,"Create still/motion graphics for a daily show in 2D/3D on a very tight turnaround schedule.  Also handle requests for show packaging, sales and ad requests, support the scenic art directors and wardrobe department."
Graphics Director,WallStreetJournal,180000,white,female,,New York,
Graphics Editor,NONE SPECIFIED,110000,noanswer,female,5,New York,
Graphics Editor,NONE SPECIFIED,95000,white,female,9,New York,"Created and maintain the style guide, produce daily graphics, social graphics, original reporting, web development"
"Graphics Editor (really a reporter, I don't act in an editor capacity)",NONE SPECIFIED,122000,poc,female,5,New York,create interactives and other graphics
Graphics reporter,NONE SPECIFIED,92000,poc,na,8,Los Angeles,"Charts and graphics, web development, design, original reporting"
Graphics Reporter,NONE SPECIFIED,81000,white,female,9,New York,"Charts and graphics, web development, design, original reporting"
Graphics reporter,NONE SPECIFIED,100000,white,male,3,"Washington, DC","Data visualization, web development"
Graphics Reporter,NONE SPECIFIED,86000,white,female,4,"Washington, DC","data journalism, graphics, reporting"
head of content,NONE SPECIFIED,130000,white,female,15,New York,"editing, strategy, operations"
Head of Planning,NONE SPECIFIED,135000,poc,female,20,"Washington, DC",Organize and coordinate newsroom workflows and coverage
Homepage/social media editor,Tech company,51000,white,male,8,Chicago,"Edit homepage, post on institutional social accounts, cover breaking news, work with reporting teams to prepare projects for online success"
Investigative Journalist,The Daily Beast,48000,white,male,5,"Washington, DC","FOIA, source generation and interviews, open source and database research, for projects I conceive and pitch and for my coworkers, along with some oversight and consulting on organization wide projects"
Investigative Reporter,Nonprofit,60000,white,female,3,Chicago,"Report and write investigative stories, shoot photo/video, data analysis"
Janitor,NowThis,19000,hispanic,na,15,New York,Cleaning
Journalism Teacher,High School,56000,white,male,7,Boston,Teaching high students how to produce media and broadcasting content.
Journalist,NONE SPECIFIED,90000,poc,female,4,New York,"Researching, interviewing, pitching, and writing content for all of Oath's digital entities. Also brainstorming, pitching, and creating ideas for RFPs for Oath's creative agency."
Journalist,NONE SPECIFIED,93000,white,female,6,New York,
Journalist / Host,NYC Local News,55000,black,male,18,Los Angeles,"Hosting, assisting in producing, booking"
Junior Motion Graphics Designer,Hearst,58500,white,female,2,New York,Digital motion design across social platforms and website
Junior Reporter,WallStreetJournal,50700,black,female,1,New York,"pitching, reporting, writing articles"
Junior Reporter,Major Canadian media organization,50700,white,male,1,New York,
Legal reporter,NONE SPECIFIED,68000,white,female,2,"Washington, DC",lawyer writing about litigation
Legal reporter,Bloomberg Law,59000,white,male,"4 years in journalism, plus law degree","Washington, DC","Reporting from court filings, attending court hearings, interviewing litigants and attorneys in cases, as well as other legal experts"
Legal Reporter (Courts Coverage),NONE SPECIFIED,68000,white,female,5,Los Angeles,"Cover 1-2 court hearings a day, sometimes jury trials, other times reporting on documents"
Line Producer,NONE SPECIFIED,145000,white,male,10,Los Angeles,
Literary Assistant,"Prefer not to say, sorry",45000,white,female,5,New York,"liaise with authors, draft contracts, process payments, read proposal and manuscript submissions, sometimes edit clients' work, write pitch letters, track submissions to publishers, manage agents' calendars"
Managing Editor,Brooklyn Eagle,59000,white,female,1.5,New York,"Overseeing team of 6 writers, editing 45+ staff stories per week, managing CMS and editorial calendar, running company Twitter account, editing freelance stories"
Managing Editor,Bloomberg,54500,white,female,8,New York,"Running the entire company in addition to pitching and writing 3 articles a day, social media 12x a day, curating half the site, managing freelancers, lead on all marketing and special project management."
Managing Editor,NPR,54000,white,male,12,New York,"Oversee production, traffic digital and physical materials, vet and acquire new titles, copyedit all titles, oversee designers, interns, broader editorial and creative direction, more..."
Managing Editor,News Corp,51000,white,female,4,Chicago,"Writing, editing, reporting, social media, influencer marketing, copywriting sponsored content"
Managing Editor,NONE SPECIFIED,100000,noanswer,noanswer,10,New York,"Manage NY, Philadelphia, Boston editions of daily newspaper"
Managing Editor,NONE SPECIFIED,84000,white,female,10,New York,Editing and assigning stories; managing freelance budget; assigning and editing freelance; managing editorial calendar
Managing Editor,NONE SPECIFIED,115000,white,female,15,New York,
"Managing Editor, Digital",NONE SPECIFIED,84000,white,female,9,New York,"managing employees, overseeing digital content + strategy, project management, writing + editing copy"
Marketing Coordinator,CondeNast,49000,white,female,3,New York,Create and execute customer subscription campaigns
Marketing Director,NONE SPECIFIED,107000,noanswer,female,13.5,New York,"Pre-order campaigns, digital and social media strategies, influencer outreach, book club coordination, coordinate sweeps and cross-promotions"
Marketing Manager,NONE SPECIFIED,90000,white,female,5,New York,Pre-sale marketing
Marketing Solutions Strategist,Refinery29,60500,white,female,2,New York,Answer pre-sale RFPs
Media Strategy Supervisor,NONE SPECIFIED,75000,latina,female,4,New York,
Metro reporter,NONE SPECIFIED,120000,white,female,8,New York,General Assignment & Investigations
Midday radio host,BuzzFeed,16000,white,male,35,Boston,"Fake laugh at jokes, kill the ratings of any show I’m on, never question any of my bosses"
Multi platform editor,NONE SPECIFIED,71000,poc,na,12,"Washington, DC",
Multimedia Storyteller,NONE SPECIFIED,90000,white,female,20,"Washington, DC","concept development/video, photo, audio story production"
Multiplatform Editor,NONE SPECIFIED,94000,noanswer,male,13,Boston,"Copyediting, headline writing, basically just a rebrand of copyeditor for the web"
Multiplatform editor,NONE SPECIFIED,84000,white,female,5,Boston,"Copy editing, headline writing, web production (adding photos, related links, etc), social media, newsletters, push alerts, some webpage layout. My job is on the express desk (our breaking news operation), so it’s more of a hybrid role than the folks on the print side."
Multiplatform editor,WashingtonPost,65000,hispanic,male,4.5,"Washington, DC",Building app edition and curating story files
Multiplatform Editor (Part-time),WashingtonPost,56000,latina,female,2,"Washington, DC","Editing stories and online verticals for grammar, consistency, style, and facts. Editing photo galleries, alerts and other digital content"
National Correspondent,NONE SPECIFIED,79000,black,male,3,New York,writer and photographer covering breaking news and enterprise stories for the U.S. news team at the Journal
News Applications Developer,NONE SPECIFIED,70000,white,female,1,"Washington, DC","visualizations, interactives, data analysis, web development"
news assistant,Household Name Juice Company,50000,noanswer,male,1,New York,"staring at legal filings, occasionally ""pitching"" them as needed. writing about them on lucky days."
News Assistant,NewYorkTimes,60000,white,female,2,New York,
News Assistant,NewYorkTimes,56000,white,male,1,New York,"Answer phones, social media, scheduling, room booking, catering, training reporters/editors in new skills, helping editors/reporters with questions, some reporting/writing"
News Assistant,NYT,56000,poc,female,3,New York,"Manage social, writing and reporting, contributing to newsletters, managing phones and emails, occasional fact-check and research and admin work"
News Assistant,NYT,65000,poc,female,2,New York,"ranges from design assistance, social media, fact-checking, reporting, writing, etc."
News Curation Editor,NONE SPECIFIED,72000,white,male,6,New York,"Running social channels, working with desks to prep copy for stories, broader social strategy."
News Curation Editor,NONE SPECIFIED,70000,white,male,5,New York,"Running social channels, sending push alerts, curation mobile app, homepage editor, promoting BF shows and series"
News Editor,NONE SPECIFIED,70000,white,female,3,New York,
News Producer,NONE SPECIFIED,72410,mixed,female,10,Boston,"In charge of crafting a half hour or entire hour show (if a producer is missing that day), select the stories, write them all, edit all the videos, correct reporter's scripts, edit the PKGs, create the CGs, and booth the shows in the control room."
News Writer,Cosmopolitan,58500,poc,female,3,New York,print and digital news
Ops Manager,NONE SPECIFIED,75000,asian,female,3,New York,
Overnight Producer,Bloomberg,52000,noanswer,noanswer,1,New York,"Post content online overnight, produce iPad app"
Part-time Digital Content Producer,CondeNast,29744,white,female,9,Boston,"Write stories from scripts, police and fire releases, press releases, create push alerts, write Facebook, Twitter and Instagram posts, digitize video from broadcasts"
Photo Director,NONE SPECIFIED,147000,asian,female,22,New York,
Photo Editor,NewYorkTimes,48000,white,female,4,New York,"Curate travel, editorial and archival photos for projects for Google"
Photo Editor,NONE SPECIFIED,102000,white,female,6,New York,"Assigning photographers for daily coverage and enterprise stories, producing visually driven stories"
Photo Editor,WallStreetJournal,81000,noanswer,female,23,New York,Producing editing photo shoots for print and digital
Photo Editor,NONE SPECIFIED,127000,african,male,3,New York,"Assigning photographers, producing visuals for stories and working with photographers to create more visually driven stories. Also working with some video along the way."
Photo editor,Daily Racing Form,62000,white,male,18,New York,"Coordinate coverage with photographers; research and select photos for digital, social, print, and video; add images to online stories; produce slideshows; graphic design; print page design; manage Instagram; digital asset management"
Photo Editor,NONE SPECIFIED,70000,hispanic,female,5,San Francisco,"Managing Daily Photo Assignment Schedule, Booking Freelancers, Creating Shift Rotation during breaking news, Editing imagery for web and daily inside sections. 50-60 hrs a week."
Photo Editor,Wired,65000,asian,male,2,San Francisco,"photo editing, photo research, photo producing"
Photo Editor,NONE SPECIFIED,75000,white,female,7,"Washington, DC","Hire freelancers around the globe, produce and edit multiple shoots weekly, fulfill photo requests for multiple departments, manage handout  images, create visual briefs, handle copyright issues with the legal team."
Photo Editor,National Geographic,62000,white,female,4.5,"Washington, DC","Hiring photographers, ingesting, tagging, uploading photo assets, supporting magazine, books and channels"
Photographer,Boston Herald,58000,white,noanswer,23,Boston,"Photograph, pitch stories, assign, write"
Photographer,NONE SPECIFIED,89050,noanswer,male,39,Chicago,Everything
Photographer,NONE SPECIFIED,115000,white,male,21,Los Angeles,Staff photojournalist
photography director,NONE SPECIFIED,130000,noanswer,female,18,New York,"managing department of 3-4 associates; booking photo shoots, managing budgets."
Photojournalist,NONE SPECIFIED,68000,hispanic,na,41,New York,Editorial Stills and Video photography
Photojournalist,"Hearst, San Francisco Chronicle",65000,white,female,5,San Francisco,Photographing everything
Platform Editor,WallStreetJournal,63000,white,female,2,New York,
Podcast Producer,NONE SPECIFIED,82000,noanswer,na,7,New York,"editorial direction, script writing, studio producing, post-production and some marketing for 2x/weekly news commentary podcast"
PR Manager,NONE SPECIFIED,85000,noanswer,female,4,New York,Lead consumer & corporate PR in-house
President and CEO,G/O Media (The Onion),500000,white,male,14,Chicago,"Strategy and day-to-day operations of The Onion; its sister publication, The A.V. Club; and internet parody site, ClickHole."
President and CEO,G/O Media (The Onion),500000,white,male,14,Chicago,"Strategy and day-to-day operations of The Onion; its sister publication, The A.V. Club; and internet parody site, ClickHole."
Print Editor,mid-size niche lifestyle publication,55000,white,male,4,New York,"Writing and editing print and digital stories (at least nine in book at a time, mostly features)"
Producer,NBC_News,45000,white,female,1,New York,produce / shoot / edit
Producer,NONE SPECIFIED,85000,white,noanswer,4,New York,
Producer,NONE SPECIFIED,67000,white,female,3,"Washington, DC","pitching ideas, booking guests, writing scripts, interviewing, recording field audio, editing and mixing audio, managing audience engagement"
Producer,NONE SPECIFIED,66000,white,male,17,Los Angeles,"Produce weekly show. Generate segment ideas, book guests, write scripts, edit audio and mix segments. Report news spots and features. Oversee blog, social media and newsletter."
Producer,NONE SPECIFIED,70000,white,male,10,Los Angeles,
Producer,NONE SPECIFIED,72000,white,female,7,Los Angeles,"Produce and edit weekly interview style radio show and podcast. Book guests, run remote recordings, put together and edit show in ProTool, write web copy"
Producer,NONE SPECIFIED,72000,white,noanswer,5,New York,"Book, project manage, produce and panel interviews, edit, score, mix, online etc... basically most components of the project i'm working on."
PRODUCER,NONE SPECIFIED,70000,black,noanswer,6,New York,"CREATIVE EXECUTION, TALENT NEGOTIATIONS, EVENT COORDINATION, MANAGE BUDGETS ETC"
Producer,NONE SPECIFIED,76000,white,female,5,New York,Podcast production
Producer,NONE SPECIFIED,115000,white,male,10,New York,"Produce, Shoot, Edit Digital Video"
Producer,NONE SPECIFIED,75000,black,male,7,New York,"Write, pre-produce, direct, shoot, edit"
Producer,NONE SPECIFIED,68000,noanswer,male,7,New York,
Producer,NONE SPECIFIED,74000,white,male,8,New York,
Producer,NONE SPECIFIED,90000,black,female,10,New York,
Producer,NBC_News,94500,asian,female,4,New York,Oversee editorial calendar and all production/shooting/editing/graphics for a vertical
Producer,Cheddar,65000,white,female,3.5,New York,"Pitch, write, shoot, edit longform social video (YouTube and Facebook)"
Producer,NONE SPECIFIED,78000,asian,female,2.5,New York,Video Producer
Producer,NONE SPECIFIED,67300,latina,female,2,New York,Reporting/producing/shooting/script writing/editing original video content; hosting
Producer,NONE SPECIFIED,70000,white,na,6,New York,
Producer,NONE SPECIFIED,70000,white,female,3,New York,"Editing audio, researching, booking, writing"
Producer,Cheddar,60000,white,female,2,New York,"Pitch, write, edit longform social videos"
Producer,NONE SPECIFIED,90000,hispanic,female,5,New York,Produce digital video content
Producer,Slate,62000,white,male,2 years FT,New York,producing a daily podcast and a monthly podcast
Producer,NONE SPECIFIED,90000,noanswer,female,7,New York,"Producing and directing shoots, pitching creating concepts and ideas, writing and research, etx"
Producer,NONE SPECIFIED,72100,asian,male,4,New York,Video Editing
Producer,NONE SPECIFIED,75000,white,female,5,New York,"write and produce videos, manage editors, pitch and develop concepts"
Producer,NONE SPECIFIED,73000,white,female,3.5,New York,
Producer,NONE SPECIFIED,78000,white,male,6,San Francisco,"Stacking show rundown, communicating with staff, managing talent, boothing live shows"
Producer,NONE SPECIFIED,70000,poc,female,"7 years total experience, ~3 years related experience",San Francisco,
Producer,NONE SPECIFIED,80000,asian,female,7,"Washington, DC","Ideate, report, produce, and execute live journalism;  project management, cross-functional collaboration w/logistics+operations, audience development, design and marketing, PR and biz dev."
Producer,NONE SPECIFIED,75000,white,female,9,"Washington, DC","Producing videos, reporting, project management, scripting writing"
Producer,NONE SPECIFIED,75000,white,female,5,"Washington, DC",
Producer/Editor,NONE SPECIFIED,75000,white,female,10,Los Angeles,"Story production, interviewing, budgeting, identifying storylines, editing, etc"
product management fellow,New York Post - Page Six,35000,white,female,0,"Washington, DC","QA, project management, customer support, metrics reporting"
Production Assistant,ATN,62000,white,male,2,New York,"-Support head of news division by sporadically acting as a Human ottoman
-Procure exotic ‘packages’ for the co-COO
-Cleaned up pee in CEOs office"
Production Assistant,NewYorkTimes,50000,white,female,1,New York,"Editing, producing, filming"
Production Associate,NPR_Affiliate,36000,hispanic,female,5,New York,"Organize footage, book locations, pretty much help the producer with whatever they want"
Production Coordinator,Kaiser Permanente,42000,white,female,1,Boston,"Daily research for public radio news magazine, audio production, booking, digital writing, show direction."
Production Manager,NONE SPECIFIED,62000,african,noanswer,18,Los Angeles,"Produce all shows in development, digital and brand. Working over 40 hours a week"
Production Specialist,An international business magazine,64000,white,female,24,Boston,"Print production/InDesign, WordPress, HTML/XML, proofreading"
Production/Development Coordinator,Large Animation Studio,54600,white,female,2,New York,
Program Manager,NPR_Affiliate,65000,white,female,5,Boston,
Project Manager,NONE SPECIFIED,72000,white,female,1.5,New York,"Handle execution of projects between editorial and business team that fall within the scope of affiliate shopping content, branded content, and strategic partnerships"
"Project Manager, Art Department",The Onion,550008,white,female,4,Chicago,"managing workload of GFX team and distributing assignments, communicating between departments, general team admin, maintain props, facilitate work of our art director"
Publicist,NONE SPECIFIED,53000,white,female,5,New York,"Planning and executing full publicity campaigns for 15-20 books per year. Includes interfacing with media, lining up review and feature coverage, setting up events and multi-city author tours, and regularly being on-call nights and weekends."
Publicity Assistant,CondeNast,36000,asian,female,1,New York,
Publisher,Group Nine Media,62500,black,male,3,New York,"publishing, copy writing, scheduling, deadline setting, partnership management"
Publishing Assistant and Digital Content Coordinator,Trade_publication,40000,white,female,5,New York,
Rachel Justice,WashingtonPost,200000,noanswer,na,12,"Washington, DC",Burying stories
Radio Morning Personality,NONE SPECIFIED,82000,white,female,12,San Francisco,Gather interesting and local stories to package in an entertaining way to SF commuters
Reporter,BridgeTower Media,63000,white,male,22,Boston,"One 1,500-word cover story, one 800-word inside story, blogging, podcasting"
Reporter,NONE SPECIFIED,69000,white,female,11,Boston,Report and write stories
Reporter,NONE SPECIFIED,95000,white,male,16,Boston,Reporter covering a major news beat.
Reporter,NONE SPECIFIED,70000,asian,female,3,Boston,"Reporting and writing for online, newsletter, and print; some data & interactive work"
Reporter,NONE SPECIFIED,74000,poc,female,7,Boston,"Reporting, writing"
Reporter,NONE SPECIFIED,80000,white,female,6,Boston,Reporting and writing
Reporter,Time,50000,poc,female,4,New York,"Pitching, writing local news stories about the people and politics of Brooklyn"
Reporter,Brooklyn Eagle,57000,white,male,2,New York,writing multiple stories per day as well as long form pieces covering the borough of Brooklyn
Reporter,Freelance,54000,white,female,7,New York,
Reporter,NBC_Universal,48000,white,female,6,Chicago,"Cover a major beat; pitch, report and write breaking and enterprise stories"
Reporter,NONE SPECIFIED,70000,poc,female,12,Chicago,Investigative reporter
Reporter,Nonprofit news outlet,58000,white,female,5,Chicago,"Investigative reporting, plus daily and enterprise work when needed"
Reporter,WBEZ,63000,hispanic,female,8,Chicago,Reporter on beat
Reporter,NONE SPECIFIED,82000,white,female,25,Chicago,reporting on a beat
Reporter,NONE SPECIFIED,75000,white,female,10,Chicago,write daily and investigative stories about education; assist with weekly newsletter; take photos
Reporter,Politico,49108.8,asian,female,5,Chicago,"Beat Reporting, Video Editing, On-Air Anchoring/Voice-Overs."
Reporter,NONE SPECIFIED,135000,poc,female,10,"Washington, DC",Beat reporter covering stories for radio and digital
Reporter,NewYorkTimes,52000,white,female,3,"Washington, DC",Cover nontraditional students (3-5 stories per week)
reporter,NONE SPECIFIED,70000,poc,male,7,"Washington, DC",daily reporting
Reporter,NONE SPECIFIED,72000,white,female,5,"Washington, DC",Reporting
Reporter,NPR,54000,white,female,3,"Washington, DC",Reporting a mix of daily news and enterprise stories
Reporter,NONE SPECIFIED,72000,asian,female,7,"Washington, DC","Reporting, writing"
Reporter,NewYorkTimes,52000,white,female,3,"Washington, DC",Write 3-5 stories per week
Reporter,AmericanCityBusinessJournals,56000,poc,male,3,"Washington, DC",writer
Reporter,NONE SPECIFIED,71000,noanswer,noanswer,10 years full-time in journalism,Los Angeles,
Reporter,NONE SPECIFIED,89000,white,female,10,Los Angeles,beat/enterprise reporting
Reporter,NONE SPECIFIED,85000,white,female,8,Los Angeles,Daily beat reporting
Reporter,NONE SPECIFIED,89250,white,male,9,Los Angeles,Report breaking news+enterprise (mostly enterprise)
Reporter,NONE SPECIFIED,85000,black,na,5.5,New York,"daily reporting, enterprise"
Reporter,NONE SPECIFIED,120000,white,male,8,New York,"enterprise, investigative reporting, some breaking news/daily news"
Reporter,NONE SPECIFIED,87500,white,female,6,New York,"Investigative reporting, light data reporting"
Reporter,NONE SPECIFIED,85000,white,female,5,New York,"mostly writing, long features and quick hits"
Reporter,The New Food Economy,65000,white,female,3.5,New York,News and feature reporting
Reporter,NONE SPECIFIED,95000,white,female,4,New York,"Report + write news, features and profiles"
Reporter,NONE SPECIFIED,128000,white,female,10,New York,Reporting and writing for Bloomberg News and BW
Reporter,NONE SPECIFIED,100000,white,female,8,New York,Reporting and writing stories
Reporter,Quartz,62000,white,male,5,New York,"Reporting, writing"
Reporter,NONE SPECIFIED,73000,white,female,3,New York,Writing daily stories and working on a daily newsletter
Reporter,NONE SPECIFIED,67000,white,female,6,New York,
Reporter,NONE SPECIFIED,85000,white,female,10,New York,
Reporter,WallStreetJournal,80000,white,female,9,New York,beat reporting
Reporter,NONE SPECIFIED,80000,white,male,4,New York,Daily reporting for print and web
Reporter,WallStreetJournal,75000,white,female,3,New York,Reporting breaking news and writing features
Reporter,Skift,60000,white,female,5,New York,"Reporting breaking news, features, sector trend analyses, etc."
Reporter,NONE SPECIFIED,87500,noanswer,male,10,New York,"Reporting deep enterprise stories, including some breaking news"
Reporter,WebMD,45500,white,female,1.5,New York,"Reporting for Newsfeed vertical on entertainment, viral news, culture, etc. -- Still assisting News team with previous responsibilities as producer"
Reporter,NONE SPECIFIED,100000,black,male,12,New York,reporting and writing stories for CBSNews.com
Reporter,The American Lawyer/ALM,58000,white,female,2,New York,
Reporter,NONE SPECIFIED,72500,noanswer,female,8,New York,"Report, interview, write, research corporate governance full-length features weekly"
Reporter,NONE SPECIFIED,133000,white,male,13,New York,Reporter
Reporter,Fast Company,65000,white,male,8,New York,Writing and editing content
Reporter,DailyMail.com and DailyMailTV,65000,white,female,25,New York,"Rewriting and formatting five stories a shift for the aggregate site, while also fronting a series of TV and web hits. Shifts are swing shifts staring at 8am until 5:30pm and, on rotating weeks, starting at 5pm and leaving past 2am."
Reporter,NONE SPECIFIED,86000,white,female,8,New York,reporting
Reporter,WallStreetJournal,103000,poc,female,10,New York,"Reporting, Writing"
Reporter,NONE SPECIFIED,84800,white,female,4,New York,beat reporter
Reporter,NONE SPECIFIED,78000,noanswer,female,4,New York,Beat reporting
Reporter,NONE SPECIFIED,80000,white,female,19,New York,"beat reporting, enterprise, spot news, fixtures"
Reporter,NBC_News,65000,white,male,5,New York,"Breaking news coverage/newsgathering, social forensics/verification/osint, write stories for NBCNews.com, contribute editorial/production to Today Show/Nightly News/MSNBC etc."
Reporter,NONE SPECIFIED,74200,white,female,4.5 years at BF,New York,"breaking news, several news features, internet culture reporting"
reporter,Personal finance website (too small to name),32000,white,male,1,New York,Cover several neighborhoods in Brooklyn - come up with stories and work on assignment.
Reporter,NONE SPECIFIED,78000,white,male,3,New York,daily reporting/blogging
Reporter,NONE SPECIFIED,109000,white,female,8,New York,political/national reporting
Reporter,Inc. Magazine,60000,white,male,4,New York,"reporting, op-ed writing, podcasting, newsletter writing/editing"
Reporter,NPR,49000,noanswer,noanswer,10+ years,New York,"reporting, researching, and writing"
Reporter,WallStreetJournal,68000,white,female,2,New York,"Reporting, writing"
Reporter,The Information,60000,white,male,7,New York,"Reporting, writing"
Reporter,NONE SPECIFIED,123000,white,female,20,New York,"Reporting, writing, some video work, plus the unacknowledged stuff like mentoring younger reporters"
Reporter,Quartz,64250,white,female,~4 years,New York,writing short hits and longer features
Reporter,NONE SPECIFIED,73000,white,male,6,New York,
Reporter,NONE SPECIFIED,100000,white,female,6,New York,
Reporter,NONE SPECIFIED,77000,white,female,8,New York,
reporter,NONE SPECIFIED,84600,white,female,15,San Francisco,"daily & enterprise beat reporting, fixtures"
reporter,WallStreetJournal,130000,white,female,8,San Francisco,
Reporter,NONE SPECIFIED,90000,poc,female,10,San Francisco,"writing, reporting"
Reporter,NONE SPECIFIED,66000,white,female,3,"Washington, DC",Reporting beat and longform stories
Reporter,University Licensed NPR Radio Station,46000,white,female,5,"Washington, DC",
Reporter,NONE SPECIFIED,89000,white,female,5,"Washington, DC","Reporter, writes features, covers national breaking news"
Reporter,Industry Dive,60000,poc,male,4,"Washington, DC","Reporting, editing, assignments"
Reporter,Industry Dive,60000,noanswer,noanswer,4,"Washington, DC","Reporting, editing, assignments"
Reporter,The Hill,57000,noanswer,noanswer,5,"Washington, DC",
Reporter,NONE SPECIFIED,86000,asian,male,7,"Washington, DC",Beat reporter
Reporter,NONE SPECIFIED,85000,poc,male,17,"Washington, DC",beat reporter
Reporter,HuffPost,58000,noanswer,female,4,"Washington, DC",Pitch and report on daily stories about national breaking news and politics
Reporter,NONE SPECIFIED,67500,white,female,8,"Washington, DC","Reporter covering Congress, turning at least 2 daily stories, plus enterprise work, photo, video and audio. Regular on podcasts and national radio shows. Edit content for other reporters. Help manage social media for the brand. Advise on SEO, social best practices."
Reporter,NONE SPECIFIED,70000,white,na,7,"Washington, DC","Reporting, editing"
Reporter,NONE SPECIFIED,67000,white,male,12,"Washington, DC","Reporting, writing"
Reporter,The Hill,55000,white,male,4.5,"Washington, DC",Spot/general assignment reporting
Reporter,Washington Business Journal,64000,white,male,5,"Washington, DC",Writing daily stories alongside long-form pieces and investigative work
Reporter,Bloomberg Law,58000,white,female,2,"Washington, DC","Cover daily news, write enterprise stories, appear on radio and TV periodically"
Reporter,NONE SPECIFIED,69950,white,female,2,"Washington, DC","report on legal filings, interviewing parties, attending live events and reporting from the field."
Reporter,NONE SPECIFIED,80000,white,female,5,"Washington, DC","Reporting, writing"
Reporter,Regional Newspaper,48000,white,male,2,"Washington, DC",
Reporter,NONE SPECIFIED,115000,noanswer,female,9,"Washington, DC",
Reporter (politics),NONE SPECIFIED,75000,white,female,10,"Washington, DC",Reporting daily and enterprise stories
Reporter & editor,NONE SPECIFIED,75000,white,male,5,New York,"Reporting, assigning, editing breaking news"
